ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3953730,929000,41.0,2,Wrocław Popowice,ul. Białowieska,Mieszkanie,Tak,"Bezpośrednio od właściciela:

Na sprzedaż nowoczesne, w pełni wykończone i kompletnie wyposażone mieszkanie 2-pokojowe o powierzchni 42 m², znajdujące się na 7 piętrze, nowoczesnego budynku z windą oraz rowerownią. Położone na prestiżowym osiedlu Port Popowice we Wrocławiu.

Mieszkanie sprzedawane j...",https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-bialowieska-2-pokojowe-m1f1s7
3864368,,38.0,2,Wrocław Złotniki,ul. Podhalańska,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 38,45 m² w inwestycji Podhalańska Vita dewelopera DEVELIA, na 1 piętrze pod adresem ul. Podhalańska, Wrocław Złotniki. Planowany termin oddania to III kwartał 2027 roku.

Podhalańska Vita to wyjątkowa inwestycja mieszkaniowa, która łączy komfort życia w miejs...",https://adresowo.pl/o/mieszkanie-wroclaw-zlotniki-ul-podhalanska-2-pokojowe-k2j7p6
3950660,585000,48.0,3,Wrocław Fabryczna,ul. Szczęśliwa,Mieszkanie,Nie,"ul. Szczęśliwa okolice
Bardzo ładne, przestronne trzypokojowe mieszkanie o pow. 48,25 mkw. z balkonem w budynku z 1962 roku. W podanym metrażu jest 3 mkw. przedpokoju wydzierżawionego od miasta. Zmiana ta została wprowadzona zgodnie z projektem budowlanym i jest w pełni oficjalna, natomiast w księdz...",https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-szczesliwa-3-pokojowe-e6k7i0
3950606,560000,41.0,2,Wrocław Krzyki,ul. Krynicka,Mieszkanie,Nie,"Do sprzedaży bardzo ładne, 2 -pokojowe mieszkanie o pow.41 m2. Znajduje się w doskonałej lokalizacji na wrocławskim osiedlu Gaj,przy ul.Krynickiej. Lokal usytuowany  na 5 piętrze w 10-piętrowym budynku z windą.
Mieszkanie rozkładowe na dwie strony, jasne,ciepłe i słoneczne.
Składa się z:
- dużego po...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-krynicka-2-pokojowe-g4w8w3
3953420,489000,35.0,2,Wrocław Krzyki,ul. Gajowicka,Mieszkanie,Tak,"Zapraszam do zakupu mieszkania o pow. 35 m2, znajdującego się na 5 piętrze w budynku z windą przy ul. Gajowicka 92 środek bloku. Mieszkanie jest w pełni umeblowane.
Blok jest ocieplony i wymienione są okna .

* Jeśli chcesz zamieszkać w świetnej lokalizacji * lubisz mieć wszystko w zasięgu ręki * to...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-gajowicka-2-pokojowe-v1n9j9
3953376,1150000,94.0,5,Wrocław Partynice,ul. Zwycięska,Mieszkanie,Tak,"Przytulne mieszkanie na Zwycięskiej. W pełni umeblowane. Gotowe do zamieszkania. Rozkładowe. Dwupoziomowe.
Na pierwszej kondygnacji otwarta kuchnia z salonem i miejscem do pracy oraz toaleta.
Na drugiej trzy sypialnie, dwie mini garderoby, łazienka, przestronny balkon.
Duże podwórko, ogrodzone, ze z...",https://adresowo.pl/o/mieszkanie-wroclaw-partynice-ul-zwycieska-5-pokojowe-r2l8d8
3592356,,42.0,2,Wrocław Żerniki,ul. Tadeusza Brzozy,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 42,63 m² w inwestycji Wuwa Vita dewelopera DEVELIA, na parterze pod adresem ul. Tadeusza Brzozy, Wrocław Żerniki. Planowany termin oddania to II kwartał 2027 roku.

Lokalizacja

Na wrocławskich Żernikach, przy ulicy Tadeusza Brzozy Develia realizuje nowy
p...",https://adresowo.pl/o/mieszkanie-wroclaw-zerniki-ul-tadeusza-brzozy-2-pokojowe-x4e6q5
3950594,495352,47.0,2,Wrocław,Maślice,Mieszkanie,Nie,"Kompleks składa się z pięciu nowoczesnych budynków, oferujących mieszkania o różnorodnych powierzchniach, od 37 m² do 103 m². W ofercie znajdują się funkcjonalne mieszkania dwupokojowe, przestronne trzypokojowe lokale oraz eleganckie czteropokojowe apartamenty. Dla osób poszukujących większej przest...",https://adresowo.pl/o/mieszkanie-wroclaw-maslice-2-pokojowe-47-m2-g7a6j2
3949860,943000,77.0,3,Wrocław Klecina,ul. Cukrowa,Mieszkanie,Nie,"Zielony azyl w sercu Kleciny - na sprzedaż 3-pokojowe mieszkanie z widokiem na Park Migdałowy, ul. Cukrowa
Na sprzedaż przestronne 3-pokojowe mieszkanie z dwiema łazienkami położone bezpośrednio przy Parku Migdałowym i w bliskim sąsiedztwie Parku Klecińskiego. Widok z salonu i jadalni oraz narożnego...",https://adresowo.pl/o/mieszkanie-wroclaw-klecina-ul-cukrowa-3-pokojowe-b4o2y2
3952828,730000,34.0,2,Wrocław Tarnogaj,ul. Międzyleska,Mieszkanie,Tak,"Gotowe do zamieszkania!

Piękne mieszkanie dwupokojowe o powierzchni 34,77 m2 znajdujące się na nowym osiedlu na Tarnogaju we Wrocławiu. Nowe, wykończone i gotowe do wprowadzenia.

Mieszkanie jest przemyślanie i starannie wykończone. Kolorystyka to kaszmir, brąz, beż i biel z dodatkami czerni. Stwor...",https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-miedzyleska-2-pokojowe-w1w6i9
3953100,739000,62.0,3,Wrocław Fabryczna,ul. Stabłowicka,Mieszkanie,Tak,"Oferta bezpośrednia, nie interesuje mnie współpraca z pośrednikami.

Sprzedam jasne i przestronne mieszkanie.

Mieszkanie po remoncie 08.2025 - malowanie, poprawki tynkarskie, wymiana listew podłogowych.

Rozkład pomieszczeń:
Salon z kuchnią - 30,92 m2
Sypialnia 1 - 8,92 m2
Sypialnia 2 - 10,87 m2
Pr...",https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-stablowicka-3-pokojowe-p2g8r9
3531328,,46.0,2,Wrocław,ul. gen. Romualda Traugutta,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 46,50 m² w inwestycji Traugutta Vita dewelopera DEVELIA, na 3 piętrze w budynku 103 pod adresem ul. gen. Romualda Traugutta 103, Wrocław. Planowany termin oddania to II kwartał 2026 roku.

Lokalizacja

Traugutta Vita to nowoczesna inwestycja w rewitalizowan...",https://adresowo.pl/o/mieszkanie-wroclaw-ul-gen-romualda-traugutta-2-pokojowe-f3r9r7
3949694,1750000,167.0,5,Wrocław Krzyki,ul. ks. Piotra Wawrzyniaka,Mieszkanie,Nie,"Stylowe Mieszkanie Dwupoziomowe z Ogrodem w sercu Krzyków
Zapraszamy do odkrycia wyjątkowego, dwupoziomowego mieszkania o powierzchni 167 m², które zachwyca stylem i przestronnością. Usytuowane w pięknej, willowym budynku z początku XX wieku, oferuje unikalne połączenie historycznego uroku i nowocze...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-ks-piotra-wawrzyniaka-5-pokojowe-w0q4a6
3949696,585450,54.0,3,Wrocław Psie Pole,ul. Inflancka,Mieszkanie,Nie,"Kupujący nie płaci prowizji przy zakupie mieszkania
Zapraszam do prezentacji mieszkania znajdującego się przy ulicy Inflanckiej na wrocławskim Psim Polu. Mieszkanie posiada 3 osobne pokoje oraz osobną kuchnię. Obustronny układ okien oraz widok z 9 piętra budynku zapewniają nam świetne oświetlenie mi...",https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-inflancka-3-pokojowe-q6o5d9
3952950,1180000,47.0,2,Wrocław Stare Miasto,ul. Staromłyńska,Mieszkanie,Tak,"Na sprzedaż eleganckie mieszkanie dwupokojowe, położone w zabytkowym budynku Młyna Maria na ulicy Staromłyńskiej, tuż przy Ostrowie Tumskim we Wrocławiu.

Mieszkanie ma 46,5 m² i znajduje się na drugim piętrze kamienicy z windą. Funkcjonalne i jasne wnętrza, w pełni wyposażone, w tym meble, pralka, ...",https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-staromlynska-2-pokojowe-n6v9i3
3952918,990000,83.0,4,Wrocław Krzyki,ul. Energetyczna,Mieszkanie,Tak,"Na sprzedaż wyjątkowe mieszkanie, położone przy ul. Energetycznej, w jednej z najbardziej poszukiwanych części Wrocławia. Ulica Energetyczna to samo serce wrocławskich Krzyków/Borku. Lokal znajduje się w zadbanej plombie z przełomu lat 70. i 80., co gwarantuje solidnie wykonane budownictwo dla promi...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-energetyczna-4-pokojowe-r4y0b0
3691578,,42.0,2,Wrocław Krzyki,ul. Świeradowska,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 42,22 m² w inwestycji Vivre dewelopera DEVELIA, na 1 piętrze w budynku 75A pod adresem ul. Świeradowska 75A, Wrocław Krzyki. Planowany termin oddania to I kwartał 2027 roku.

Opis inwestycji

Vivre to wyjątkowa inwestycja mieszkaniowa zlokalizowana w jednej...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-swieradowska-2-pokojowe-y9a3m5
3949690,921553,56.0,2,Wrocław,ul. Zygmunta Krasińskiego,Mieszkanie,Nie,"Marzysz o mieszkaniu, które łączy klimat przedwojennej kamienicy z nowoczesnym komfortem i doskonałą lokalizacją w centrum miasta?
To wyjątkowe mieszkanie przy ul. Krasińskiego 15A to idealna propozycja zarówno do zamieszkania, jak i jako pewna inwestycja pod najem krótko- lub długoterminowy.
NIERUC...",https://adresowo.pl/o/mieszkanie-wroclaw-ul-zygmunta-krasinskiego-2-pokojowe-d2u8t3
3949668,690110,60.0,3,Wrocław,ul. Sudecka,Mieszkanie,Nie,"Na sprzedaż 2 kawalerki na jednej KW. Mieszkanie o powierzchni 60m2 przy ul. Sudeckiej 76.
Z uwagi na lokalizację jest to świetna propozycja pod najem (obecnie wynajmowane). Tuż obok znajduje się Sky Tower, przystanek tramwajowy oraz całe zaplecze handlowo-usługowe. Dodatkowym atutem jest kamienica ...",https://adresowo.pl/o/mieszkanie-wroclaw-ul-sudecka-3-pokojowe-o5b6l1
3952736,679000,48.0,3,Wrocław Krzyki,ul. Skwierzyńska,Mieszkanie,Tak,"BEZPOŚREDNIO OD WŁAŚCICIELA!
Na sprzedaż W PEŁNI ROZKŁADOWE, SŁONECZNE (strona południowo-zachodnia), CIEPŁNE, CICHE mieszkanie 3 pokojowe o pow. 48m2, położone w świetnej lokalizacji, w dzielnicy Krzyki/Stare Miasto, przy ul. Skiwrzyńskiej, blisko SKY TOWERA.
Usytuowane jest na czwartym piętrze (4/...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-skwierzynska-3-pokojowe-u8u5d3
3531546,,48.0,2,Wrocław Ołtaszyn,ul. Orawska,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 48,01 m² w inwestycji Orawska Vita dewelopera DEVELIA, na 2 piętrze w budynku 73 pod adresem ul. Orawska 73, Wrocław Ołtaszyn. Planowany termin oddania to I kwartał 2026 roku.

Oferta

Z myślą o komforcie mieszkańców dla każdego lokalu została przewidziana ...",https://adresowo.pl/o/mieszkanie-wroclaw-oltaszyn-ul-orawska-2-pokojowe-k5o0q7
3949662,765251,54.0,4,Wrocław,pl. Nowy Targ,Mieszkanie,Nie,"Przedstawiamy Państwu wyjątkową nieruchomość o powierzchni 54m2, znajdującą się przy Wrocławskim Rynku, w budynku z roku 1960 z mediami miejskimi. Mieszkanie jest dwustronne, a okna z obu stron wychodzą na zrewitalizowane podwórze i Plac Nowy Targ, natomiast sąsiedztwo Galerii Dominikańskiej gwarant...",https://adresowo.pl/o/mieszkanie-wroclaw-pl-nowy-targ-4-pokojowe-g6k3o7
3949654,943750,94.0,3,Wrocław Plac Grunwaldzki,ul. Walecznych,Mieszkanie,Nie,"Przedstawiamy Państwu wyjątkową nieruchomość o powierzchni 94,46 m², położoną przy Placu Grunwaldzkim, w klimatycznej kamienicy w sąsiedztwie terenów zielonych i ogródków działkowych.
Mieszkanie charakteryzuje się bardzo funkcjonalnym, w pełni rozkładowym układem pomieszczeń, co zapewnia komfort i w...",https://adresowo.pl/o/mieszkanie-wroclaw-plac-grunwaldzki-ul-walecznych-3-pokojowe-b8z8k8
3916760,950000,65.0,3,Wrocław Stare Miasto,ul. św. Antoniego,Mieszkanie,Tak,"Mieszkanie w ścisłym centrum- dzielnica Czterech Wyznań.
Do mieszkania przynależy piwnica wpisana w KW. Mieszkanie posiada również dostęp do strychu i wspólnego pomieszczenia zlokalizowanego na parterze kamienicy.
Nieruchomość sprzedawana jest z umeblowaniem i wyposażeniem widocznym na zdjęciach. Id...",https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-sw-antoniego-3-pokojowe-n0h3z9
3952594,490000,34.0,2,Wrocław,Stare Miasto,Mieszkanie,Tak,"Mieszkanie na Start

Dla studenta
Singla
Młodej Pary

Inwestycja pod wynajem (krótko- lub długoterminowy)

Na sprzedaż mieszkanie 2-pokojowe, 34,32 m², w centrum Wrocławia – przy Galerii Dominikańskiej

Mieszkanie o powierzchni 34,32 m², zlokalizowane w samym sercu Wrocławia – w bezpośrednim sąsiedz...",https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-2-pokojowe-34-m2-p2n0q8
3951252,595000,59.0,2,Wrocław Fabryczna,ul. Rogowska,Mieszkanie,Tak,"Lokal znajduje się na wysokim parterze w 10. piętrowym budynku z lat osiemdziesiątych.

Mieszkanie składa się z salonu, oddzielnej kuchni z częścią jadalną, sypialni, przedpokoju, łazienki, WC, loggi oraz dodatkowej powierzchni ok. 10 m2 uzyskanej z zabudowy korytarza. Dzięki czemu jest dodatkowa du...",https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-rogowska-2-pokojowe-t8c6k2
3864396,,51.0,3,Wrocław Złotniki,ul. Podhalańska,Mieszkanie,Tak,"Nowe mieszkanie 3-pokojowe o powierzchni 51,88 m² w inwestycji Podhalańska Vita dewelopera DEVELIA, na 1 piętrze pod adresem ul. Podhalańska, Wrocław Złotniki. Planowany termin oddania to III kwartał 2027 roku.

Podhalańska Vita to wyjątkowa inwestycja mieszkaniowa, która łączy komfort życia w miejs...",https://adresowo.pl/o/mieszkanie-wroclaw-zlotniki-ul-podhalanska-3-pokojowe-i1s0w4
3949650,551033,34.0,1,Wrocław,Stare Miasto,Mieszkanie,Nie,"Funkcjonalna kawalerka o powierzchni 34 m2 o praktycznym układzie  z wydzieloną kuchnią  w  samym Rynku!

Z uwagi na doskonałą lokalizację, będzie to świetna propozycja inwestycyjna, z myślą o dalszym wynajmie (również jako najem krótkoterminowy).
W bezpośrednim sąsiedztwie znajduje się kilka wydzia...",https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-1-pokoj-34-m2-p3g3m7
3949632,824900,61.0,3,Wrocław Wojszyce,ul. Orawska,Mieszkanie,Nie,"Zapraszam do zapoznania się z ofertą przestronnego, nowego mieszkania o powierzchni 60,15 m² z balkonem, położonego na 2. piętrze w nowoczesnym, kameralnym budynku z windą przy ul. Orawskiej 77 we Wrocławiu. Budynek został oddany do użytku w 2025 roku.
NIERUCHOMOŚĆ: 60,15 m² + balkon
- Salon z aneks...",https://adresowo.pl/o/mieszkanie-wroclaw-wojszyce-ul-orawska-3-pokojowe-p5q5k1
3951040,535000,43.0,3,Wrocław Grabiszyn,ul. Inżynierska,Mieszkanie,Tak,"3 pokoje z loggią | Grabiszyn | ul. Inżynierska
43 m² | 4 piętro z 4 | dostępne od 1 kwietnia
Cena: 535 000 zł
Sprzedaż bezpośrednia od właściciela

Sprzedajemy nasze 3-pokojowe, dwustronne mieszkanie przy ul. Inżynierskiej. To miejsce, w którym naprawdę dobrze się mieszkało. To mieszkanie ma dobrą ...",https://adresowo.pl/o/mieszkanie-wroclaw-grabiszyn-ul-inzynierska-3-pokojowe-b2g2q3
3950982,859000,58.0,3,Wrocław Jagodno,ul. Stanisława Drabika,Mieszkanie,Tak,"Mam przyjemność zaprezentować nowe mieszkanie 3-pokojowe z balkonem na 1 piętrze w budynku z 2025 roku na osiedlu Jagodno. W mieszkaniu nikt jeszcze nie mieszkał, wszystkie sprzęty i meble są nowe i na gwarancji.

Mieszkanie składa się z osobnego salonu, oddzielnej kuchni, dwóch sypialni , łazienki ...",https://adresowo.pl/o/mieszkanie-wroclaw-jagodno-ul-stanislawa-drabika-3-pokojowe-h9u8f9
3531630,,59.0,3,Wrocław Popowice,ul. Legnicka,Mieszkanie,Tak,"Nowe mieszkanie 3-pokojowe o powierzchni 59,95 m² w inwestycji Legnicka Vita dewelopera DEVELIA, na 10 piętrze w budynku 52A pod adresem ul. Legnicka 52A, Wrocław Popowice. Planowany termin oddania to IV kwartał 2025 roku.

Lokalizacja

Legnicka Vita to najnowsza propozycja Develii realizowana w d...",https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-legnicka-3-pokojowe-d1x2y1
3949634,1168000,70.0,3,Wrocław Tarnogaj,ul. Piękna,Mieszkanie,Nie,"Na sprzedaż duże 3 pokojowe mieszkanie o powierzchni 70m2 przy ul. Pięknej. Mieszkanie znajdujące się na osiedlu ""Punkt Piękna"" zostało wykończone w wysokim standardzie, jest gotowe do zamieszkania od zaraz.
Mieszkanie znajduje się na 1 piętrze z 7 i znajduje się w  w nowoczesnym bloku z 2020r. Wspa...",https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-piekna-3-pokojowe-s9g2n5
3949630,894895,61.0,3,Wrocław Tarnogaj,ul. ks. Czesława Klimasa,Mieszkanie,Nie,"Na sprzedaż 3 pokojowe mieszkanie o powierzchni 61m2 znajdujące się przy ul. Klimasa na dobrze ocenianym osiedlu Lokum ""Di Trevi"" 
Mieszkanie zostało odświeżone i jest gotowe do zamieszkania od zaraz. Dodatkowo atutem tej nieruchomości jest posiadanie dwóch tarasów, które świetnie nadadzą się do rel...",https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-ks-czeslawa-klimasa-3-pokojowe-n9t4j2
3950978,768500,53.0,3,Wrocław Muchobór Wielki,ul. Drohobycka,Mieszkanie,Tak,"Na sprzedaż gotowe do zamieszkania 3-pokojowe mieszkanie 53 m² z dużym tarasem 17 m².
Położone na podwyższonym parterze z bezstopniowym wyjściem na ogród na antresoli, w kameralnym, ogrodzonym osiedlu z 2006 r. przy ul. Drohobyckiej we Wrocławiu.
Całkowita przestrzeń prywatna: 70 m² - idealne dla ro...",https://adresowo.pl/o/mieszkanie-wroclaw-muchobor-wielki-ul-drohobycka-3-pokojowe-p3g5w8
